Номер акта;Дата акта;Работы произведены;Описание работ;Дата начала работ;Дата окончания работ;Подтверждающие документы;Печать;Файл;Оригинал;Страницы
№ГПЗ-TMT-РХИ-4.1.1.14.101-GP3-ПO-002;02.05.2021;;;;;"""Исполнительная схема № ГПЗ-4.1.1.14.101-СРЗ.Р1--0002-ТМТ-РХИ-ПО-002 от 02.05.20212. @ Протокол испытаний ПГО502 от 02.05.20212., @ Протокол испытаний П0430/3 от 30.04.20212., @ """;;АОСР_KiladzeSV_014039.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000149
;;;;;;;;АОСР_KiladzeSV_014040.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000150
№ГПЗ-TMT-PХИ-4.1.1.14.101-GР3-ЩО-002;04.05.2021;;;;;"""Исполнительная схема № ГПЗ-4.1.1.14.101-СРЗ.Р1-0002-ТМТ-РХИ-ЩО-002 от 04.05.2021г. Ведомость №14.10МИСО-Пр2104/10-ШТАМП от 04.05.20212. Жан.№16-ТКМ @ Учетный лист №27 от 18.05.2020 @ """;;АОСР_KiladzeSV_014042.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000152
;;;;;;;;АОСР_KiladzeSV_014043.pdf;4.1.1.14.101-GP3-ПО-002.pdf;000153
№ГПЗ-ТМТ-РХИ-4.1.1.12.168-NVК1-СА00201-ВГК-005;26.03.2021;;;;;н/п.;;АОСР_KiladzeSV_014045.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000155
;;;;;;;;АОСР_KiladzeSV_014046.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000156
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVK2-CА02101-ВГ-003;06.09.2020;;;;;н/п.;;АОСР_KiladzeSV_014047.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000157
;;;;;;;;АОСР_KiladzeSV_014048.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000158
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVKКЗ-CА00201-BГК-002;02.10.2020;;;;;н/п.;;АОСР_KiladzeSV_014049.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000159
;;;;;;;;АОСР_KiladzeSV_014050.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000160
№ГПЗ-ТMT-РХИ-4.1.1.12.168-NVK3-СА00201-ВBГ-003;02.10.2020;;;;;н/п 5. Даты:;;АОСР_KiladzeSV_014051.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000161
;;;;;;;;АОСР_KiladzeSV_014052.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000162
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVК4-СА02101-ВГК-001;25.08.2020;;;;;нп;;АОСР_KiladzeSV_014053.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000163
;;;;;;;;АОСР_KiladzeSV_014054.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000164
№ГПЗ-TMT-РХИ-4.1.1.12.168-NVK4-А02101-BГ-002;26.11.2020;;;;;н/п;;АОСР_KiladzeSV_014055.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000165
;;;;;;;;АОСР_KiladzeSV_014056.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000166
№ГПЗ-TМT-РХИ-4.1.1.12.168-NVK4-СА02101-ВГ-004;26.11.2020;;;;;н/п;;АОСР_KiladzeSV_014057.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000167
;;;;;;;;АОСР_KiladzeSV_014058.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000168
№ГПЗ-ТMT-РХИ-4.1.1.12.168-NVК4-CА02101-ВГК-005;25.08.2020;;;;;нп;;АОСР_KiladzeSV_014059.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000169
;;;;;;;;АОСР_KiladzeSV_014060.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000170
№ГПЗ-ТMТ-РХИ-4.1.1.12.168-NVK4-СА02101-ВГК-006;25.08.2020;;;;;;;АОСР_KiladzeSV_014061.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000171
;;;;;;;;АОСР_KiladzeSV_014062.pdf;4.1.1.12.168-NVK1-CA00201-ВГК-005.pdf;000172
№ГПЗ-ТМT-РХИ-3.1.1.03.105-NVК8-СА07103-О3К-009;18.04.2021;;;;;"""Исполнительная схема № ГПЗ-3.1.1.03.105-МУК8.Р1.--0002-ТМТ-РХИ-ОЗ-014 от 18.04.2021. @ Исполнительная схема № ГПЗ-3.1.1.03.105-МУК8.Р1-0002-ТМТ-РХИ-ОЗ-028 от 18.04.20212., „ @ Акт пробного уплотнения грунта № 14.165/ИСО-ПГ-Пр1925/13-ПУ от 25.03.20212., @ Протокол испытаний № 03.105/ИСО-ПБ-Пр2009/14-1ФМ от 09.04.2021. ‚ @ Протокол испытаний № 03.105/ИСО-ПБ-Пр2018/19-2КУ от 18.04.20212., ЖАН №2-ТКМ, @ учетный лист №5 от 04.07.2019г. @ """;;АОСР_KiladzeSV_014063.pdf;3.1.1.03.105-NVK8-CA07103-ОЗК-009.pdf;000173
;;;;;;;;АОСР_KiladzeSV_014064.pdf;3.1.1.03.105-NVK8-CA07103-ОЗК-009.pdf;000174
№ГПЗ-TМT-РХИ-3.1.1.02.101-GТ1-CА00008-ПО-001;05.09.2020;;;;;"""Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.Р1.0002-ТМТ-РХИ-ПО-501 от 05.09.2020 г. @ Протокол испытаний 02.10 /ИСО-ПГ-Пр!1305/21-1ФМ от 05.09.2020 г. @ Протокол испытаний 02.101/ИСО-ПГ-Пр1305/21-2КУ от 05.09.2020 г. ЖАН 6-ТКМ-3.1 @ учетный лист №55. @ """;;АОСР_KiladzeSV_014066.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000177
;;;;;;;;АОСР_KiladzeSV_014067.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000178
№ГПЗ-TМТ-РХИ-3.1.1.02.101-GT1-СА00008-ГС-001;21.09.2020;;;;;"""учетный лист № 56 от 31.08.2020 г. @ Монтажная схема № ГПЗ-3.1.1.02.101-СТ1.РЕ.0002-ТМТ-РХИ-ГС-001 от 21.09.2020 г. @ """;;АОСР_KiladzeSV_014069.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000180
;;;;;;;;АОСР_KiladzeSV_014070.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000181
№ГПЗ-ТМТ-РХИ-3.1.1.02.101-GТ-СА00008-ЩО-001;28.09.2020;;;;;"""Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.РЕ.0002-ТМТ-РХИ-ЩПП-001 от 28.09.2020. @ Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.РЕ.0002-ТМТ-РХИ-ЩПП-002 от 28.09.2020. @ Исполнительная схема № ГПЗ-3.1.1.02.101-СТ1.РГО002-ТМТ-РХИ-ЩИП-003 от 28.09.20202. ЖАН №5, @ учетный лист №74 запись от 28.09.2020. Ведомость №02.10МИСО-Пр1328/12-ШТАМП от 28.09.2020г. Ведомость №02.10ИИСО-Пр1328/11-ШТАМП от 28.09.2020г. Ведомость №02.10/ИСО-Пр1328/10-ШТАМП от 28.09.2020г. @ """;;АОСР_KiladzeSV_014072.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000183
;;;;;;;;АОСР_KiladzeSV_014073.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000184
№ГПЗ-ТМТ-РХИ-3.1.1.02.101-GТ1-СА00008-ГТ-001;30.09.2020;;;;;"""Монтажная схема Л ГИЗ-3.1.1.02.101-СТ1.РЕ0002-ТМТ-РХИ-ГТ-001 от 30.09.20202. @ """;;АОСР_KiladzeSV_014077.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000188
;;;;;;;;АОСР_KiladzeSV_014078.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000189
№ГПЗ-TМT-РХИ-3.1.1.02.101-GТ1-C00008-БК-002;21.10.2020;;;;;"""Монтажная схема № ГПЗ-3.1.1.02.101-СТ1.Р1--0002-ТМТ-РХИ-БК-002 от 21.10.2020г. @ Протокол испытаний №634-1 от 21.10.2020 г. @ """;;АОСР_KiladzeSV_014082.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000193
;;;;;;;;АОСР_KiladzeSV_014083.pdf;3.1.1.02.101-GT1-CA00008-ПО-001.pdf;000194
