Номер заключения;Дата;Наименование узла;Титул;Номер линии;Номер чертежа;Категория трубопровода;Номер сварного соединения;Размер свариваемых элементов;Клеймо сварщика;Заключение;Лаборатория;Файл;Оригинал;Страницы
YMT-A-0562 PT 6017;27.04.2020;P1Y29406;4.1.3.11.119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0024;B(a)-I;S3.6;508x26.19+508x26.19;9EK59F4V9NR9;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134423.pdf;К16.pdf;000245
N MT-A-0562 PT 5989;26.04.2020;P1Y29407;41511119;1-11-0A1032;0055-4.1.311.119-TMIS-0024;(a)-I-B(a)-I;S3.8;508x26.19508x26.19;"8NZ246VN;97XA";pнн/repair;"ООО ""Альфа""";Заключение ПВК_10_134424.pdf;К16.pdf;000246
YMT-NS-0636-23145;26.07.2020;NA;4.1.3.11.119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0025;B(a)-I;F4.4;26.7x3.91+26.7x3.91;9TA0;oдвнappтoтte;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134425.pdf;К16.pdf;000247
YMT-A-0427 PT 3786;02.04.2020;P1Y29410;4.1.3.11.119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0026;B(a)-I;F5.2;60.3x5.54+60.3x5.54;9TM9;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134426.pdf;К16.pdf;000248
YMT-A-0427 PT 3787;02.04.2020;P1Y29410;4.1.3.11.119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0026;B(a)-I;F5.8;48.3x5.08+48.3x5.08;9TM9;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134427.pdf;К16.pdf;000249
YMT-A-0427 PT 3788;02.04.2020;P1Y29410;4.1-3.11-119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0026;B(a)-I;F5.9;48.3x5.08+48.3x5.08;9TM9;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134428.pdf;К16.pdf;000250
YMT-A-0562 PT 6018;27.04.2020;P1Y29410;4.1.3.11-119;1-11-0A1032;0055-4.1.3.11.119-TM.IS-0026;B(a)-I;S5.14;508x26.19+508x26.19;9SMS9ETL99V6;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134429.pdf;К16.pdf;000251
YMT-NS-0636-23431;26.07.2020;NA;4.1.3.11.119;1-11-0A1032;HMRDW-0055-4.1.3.11.119-TM.IS-0163;B(a)-I;F7.3;26.7x3.91+26.7x3.91;9TA0;дeнтaтoтаte;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134430.pdf;К16.pdf;000252
YMT-NS-0636-23427;26.07.2020;NA;-4.1.3.11.119;HMLU-1-11-0A1032;HMRDWN-0055-4.1.3.11.119-TM.IS-0163;B(a)-I;F7.11;26.7x3.91+26.7x3.91;9TA0;гoдeн/appropriate;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134431.pdf;К16.pdf;000253
YMT-NS-0636-23430;26.07.2020;NA;4.1.3.11.119;HLN-1-11-0A1032;HMRDWU-0055-4.1.3.11.119-TM.IS-0163;B(a)-I;F7.17;26.7x3.91+26.7x3.91;9TA0;гoдeнappropriate;"ООО ""НОВА-СПЕКТР""";Заключение ПВК_10_134432.pdf;К16.pdf;000254
YMT-A-0497 PT 16009;26.03.2020;P1Y25000;4.1.3.11.105;1-11-0A1034;0055-4.1.3.11.105-TM.IS-0040;B(a)-I;F1.3;508x26.19+508x26.19;8VF68CHS;гoдeн/appropriate;"ООО ""Альфа""";Заключение ПВК_10_134434.pdf;К16.pdf;000256
TT1853-70973;20.02.2020;P1Y1993;4.1.3.11.103;1-11-0A1038;0055-4.1.3.11.103-TM.IS-0003;B(a)-I;F4;219.1x12.7+219.1x12.7;95M6;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134437.pdf;К16.pdf;000259
TT1853-70969;16.02.2020;P1Y1995;4.1.3.11.103;1-11-0A1038;0055-4.1.3.11.103-TM.IS-0003;B(a)-I;F16;219.1x12.7+219.1x12.7;95M6;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134439.pdf;К16.pdf;000261
NPG025-PT-072;05.12.2019;P1Y1995;4.1.3.11.103;1-11-0A1038;0055-4.1.3.11.103-TM.IS-0003;B(a)-I;S18;219.1x12.7+219.1x12.7;0E15;гoдeн/appropriate;"ООО ""Сигур""";Заключение ПВК_10_134441.pdf;К16.pdf;000263
TT1853-70970;16.02.2020;P1Y2046;4.1.3.11.119;1-11-0A1038;0055-4.1.3.11.119-TM.IS-0111;B(a)-I;F3;219.1x12.7+219.1x12.7;9VK1;гoдeн/appropriate;"?ООО ""НГС-ЭКСПЕРТ""";Заключение ПВК_10_134446.pdf;К16.pdf;000268
